priority_rank,sku,product_name,category,supplier,location,zone,system_qty,physical_qty,quantity_variance,absolute_quantity_variance,unit_cost,inventory_value,cumulative_adjustment_value,average_daily_demand,days_of_supply,reorder_point,safety_stock,lead_time_days,stockout_risk_flag,historical_stockout_observation_count,variance_event_count,materiality_flag,risk_tier,risk_reason,current_action_flag,priority_score,recommended_count_frequency
2609,SKU0289,Shipping Supplies 0289,Shipping Supplies,Harbor Safety,Z1-B04,Z1,723,723,0,4.0,113.30,81915.90,453.20,11.19,64.59,79,15,11,N,13,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,24.50,Monthly
2610,SKU0225,Tools 0225,Tools,Summit Packaging,Z1-B03,Z1,568,568,0,4.0,116.50,66172.00,466.00,11.25,50.49,95,15,13,N,21,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,24.47,Monthly
2611,SKU0146,Consumables 0146,Consumables,Atlas Industrial,Z2-B04,Z2,327,327,0,8.0,64.20,20993.40,513.60,11.00,29.73,26,20,18,N,80,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,24.47,Monthly
2612,SKU0177,Fasteners 0177,Fasteners,Blue Ridge Supply,Z3-B04,Z3,680,680,0,8.0,58.90,40052.00,471.20,10.83,62.77,47,15,19,N,27,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,24.45,Monthly
2613,SKU0097,Fasteners 0097,Fasteners,Blue Ridge Supply,Z2-B02,Z2,283,283,0,4.0,122.90,34780.70,491.60,11.36,24.91,47,15,17,N,90,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,24.33,Monthly
2614,SKU0189,Shipping Supplies 0189,Shipping Supplies,Harbor Safety,Z1-B02,Z1,339,338,1,5.0,103.30,34915.40,516.50,11.17,30.27,99,35,13,N,65,5,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,24.32,Monthly
2615,SKU0177,Fasteners 0177,Fasteners,Blue Ridge Supply,Z1-B03,Z1,634,634,0,8.0,58.90,37342.60,471.20,10.83,58.52,47,15,19,N,44,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,24.31,Monthly
2616,SKU0048,Maintenance Parts 0048,Maintenance Parts,Cedar Components,Z1-B01,Z1,644,644,0,8.0,61.60,39670.40,492.80,11.33,56.82,68,10,16,N,25,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,24.29,Monthly
2617,SKU0276,Consumables 0276,Consumables,Atlas Industrial,Z1-B04,Z1,700,700,0,8.0,65.20,45640.00,521.60,10.94,63.96,96,30,10,N,1,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,24.21,Monthly
2618,SKU0127,Fasteners 0127,Fasteners,Blue Ridge Supply,Z2-B02,Z2,651,651,0,4.0,113.90,74148.90,455.60,11.58,56.20,57,45,11,N,4,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,24.21,Monthly
2619,SKU0085,Tools 0085,Tools,Summit Packaging,Z3-B02,Z3,132,132,0,8.0,78.50,10362.00,628.00,11.64,11.34,75,35,5,N,92,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,24.17,Monthly
2620,SKU0227,Fasteners 0227,Fasteners,Blue Ridge Supply,Z3-B03,Z3,512,512,0,4.0,123.90,63436.80,495.60,11.61,44.10,37,25,9,N,1,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,24.17,Monthly
2621,SKU0128,Maintenance Parts 0128,Maintenance Parts,Cedar Components,Z1-B03,Z1,329,329,0,4.0,117.60,38690.40,470.40,11.42,28.82,68,10,18,N,69,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,24.15,Monthly
2622,SKU0118,Maintenance Parts 0118,Maintenance Parts,Cedar Components,Z3-B02,Z3,790,791,-1,5.0,80.60,63754.60,403.00,11.75,67.32,38,40,20,N,44,5,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,24.09,Monthly
2623,SKU0083,Safety Supplies 0083,Safety Supplies,Cedar Components,Z1-B02,Z1,301,301,0,8.0,71.10,21401.10,568.80,11.58,25.99,53,25,9,N,0,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,24.08,Monthly
2624,SKU0257,Fasteners 0257,Fasteners,Blue Ridge Supply,Z2-B02,Z2,265,265,0,4.0,114.90,30448.50,459.60,11.22,23.61,47,15,21,N,159,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,24.04,Monthly
2625,SKU0048,Maintenance Parts 0048,Maintenance Parts,Cedar Components,Z1-B02,Z1,522,522,0,8.0,61.60,32155.20,492.80,11.33,46.06,68,10,16,N,22,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,24.03,Monthly
2626,SKU0245,Tools 0245,Tools,Summit Packaging,Z3-B01,Z3,331,331,0,8.0,70.50,23335.50,564.00,11.19,29.57,75,35,9,N,9,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.98,Monthly
2627,SKU0077,Fasteners 0077,Fasteners,Blue Ridge Supply,Z1-B02,Z1,237,237,0,10.0,48.90,11589.30,489.00,10.81,21.93,67,35,21,N,156,5,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.97,Monthly
2628,SKU0126,Consumables 0126,Consumables,Atlas Industrial,Z3-B04,Z3,419,419,0,5.0,110.20,46173.80,551.00,11.36,36.88,46,40,4,N,0,5,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.94,Monthly
2629,SKU0194,Packaging 0194,Packaging,Harbor Safety,Z2-B03,Z2,417,417,0,4.0,121.80,50790.60,487.20,11.42,36.53,74,20,12,N,28,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.94,Monthly
2630,SKU0178,Maintenance Parts 0178,Maintenance Parts,Cedar Components,Z2-B02,Z2,898,898,0,8.0,62.60,56214.80,500.80,10.97,81.84,58,20,8,N,0,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.85,Monthly
2631,SKU0027,Fasteners 0027,Fasteners,Blue Ridge Supply,Z1-B04,Z1,252,252,0,5.0,103.90,26182.80,519.50,11.25,22.40,77,25,13,N,31,5,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.83,Monthly
2632,SKU0287,Fasteners 0287,Fasteners,Blue Ridge Supply,Z2-B02,Z2,630,630,0,4.0,105.90,66717.00,423.60,10.83,58.15,57,45,15,N,9,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.75,Monthly
2633,SKU0114,Packaging 0114,Packaging,Harbor Safety,Z2-B02,Z2,506,506,0,8.0,65.80,33294.80,526.40,11.33,44.65,74,20,10,N,17,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.73,Monthly
2634,SKU0094,Packaging 0094,Packaging,Harbor Safety,Z1-B02,Z1,513,513,0,4.0,111.80,57353.40,447.20,11.39,45.04,94,40,14,N,33,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.71,Monthly
2635,SKU0079,Shipping Supplies 0079,Shipping Supplies,Harbor Safety,Z2-B01,Z2,823,823,0,8.0,56.30,46334.90,450.40,11.17,73.70,89,45,17,N,30,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.67,Monthly
2636,SKU0223,Safety Supplies 0223,Safety Supplies,Cedar Components,Z2-B01,Z2,490,490,0,4.0,109.10,53459.00,436.40,11.19,43.77,73,45,17,N,41,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.67,Monthly
2637,SKU0219,Shipping Supplies 0219,Shipping Supplies,Harbor Safety,Z1-B02,Z1,730,730,0,5.0,94.30,68839.00,471.50,11.08,65.86,29,25,7,N,0,5,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.64,Monthly
2638,SKU0209,Shipping Supplies 0209,Shipping Supplies,Harbor Safety,Z3-B03,Z3,212,212,0,10.0,57.30,12147.60,573.00,10.81,19.62,79,15,9,N,0,5,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.63,Monthly
2639,SKU0179,Shipping Supplies 0179,Shipping Supplies,Harbor Safety,Z2-B01,Z2,178,178,0,8.0,66.30,11801.40,530.40,11.19,15.90,69,25,15,N,141,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.59,Monthly
2640,SKU0027,Fasteners 0027,Fasteners,Blue Ridge Supply,Z1-B01,Z1,745,745,0,4.0,103.90,77405.50,415.60,11.25,66.22,77,25,13,N,3,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.55,Monthly
2641,SKU0027,Fasteners 0027,Fasteners,Blue Ridge Supply,Z3-B01,Z3,726,726,0,4.0,103.90,75431.40,415.60,11.25,64.53,77,25,13,N,27,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.52,Monthly
2642,SKU0147,Fasteners 0147,Fasteners,Blue Ridge Supply,Z1-B02,Z1,459,459,0,8.0,67.90,31166.10,543.20,11.22,40.90,37,25,7,N,20,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.47,Monthly
2643,SKU0063,Safety Supplies 0063,Safety Supplies,Cedar Components,Z2-B01,Z2,415,415,0,4.0,117.10,48596.50,468.40,11.64,35.66,73,45,13,N,22,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.45,Monthly
2644,SKU0187,Fasteners 0187,Fasteners,Blue Ridge Supply,Z3-B01,Z3,781,781,0,4.0,95.90,74897.90,383.60,10.81,72.28,77,25,17,N,25,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.45,Monthly
2645,SKU0079,Shipping Supplies 0079,Shipping Supplies,Harbor Safety,Z2-B02,Z2,680,680,0,8.0,56.30,38284.00,450.40,11.17,60.90,89,45,17,N,38,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.36,Monthly
2646,SKU0012,Electrical Components 0012,Electrical Components,Blue Ridge Supply,Z3-B04,Z3,470,470,0,10.0,48.40,22748.00,484.00,10.94,42.94,72,30,16,N,37,5,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.32,Monthly
2647,SKU0243,Safety Supplies 0243,Safety Supplies,Cedar Components,Z1-B01,Z1,436,436,0,8.0,63.10,27511.60,504.80,10.83,40.25,53,25,13,N,2,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.31,Monthly
2648,SKU0083,Safety Supplies 0083,Safety Supplies,Cedar Components,Z3-B03,Z3,147,147,0,8.0,71.10,10451.70,568.80,11.58,12.69,53,25,9,N,31,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.31,Monthly
2649,SKU0222,Electrical Components 0222,Electrical Components,Blue Ridge Supply,Z3-B03,Z3,242,243,-1,5.0,105.40,25612.20,527.00,10.97,22.15,62,40,10,N,39,5,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.29,Monthly
2650,SKU0254,Packaging 0254,Packaging,Harbor Safety,Z1-B02,Z1,487,487,0,4.0,103.80,50550.60,415.20,10.94,44.50,94,40,18,N,52,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.28,Monthly
2651,SKU0245,Tools 0245,Tools,Summit Packaging,Z3-B02,Z3,162,162,0,8.0,70.50,11421.00,564.00,11.19,14.47,75,35,9,N,36,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.28,Monthly
2652,SKU0096,Consumables 0096,Consumables,Atlas Industrial,Z3-B02,Z3,426,426,0,4.0,119.20,50779.20,476.80,11.75,36.26,36,10,10,N,23,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.21,Monthly
2653,SKU0256,Consumables 0256,Consumables,Atlas Industrial,Z3-B02,Z3,461,461,0,4.0,111.20,51263.20,444.80,11.00,41.91,36,10,14,N,10,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.19,Monthly
2654,SKU0161,Industrial Supplies 0161,Industrial Supplies,Atlas Industrial,Z3-B04,Z3,239,239,0,4.0,119.70,28608.30,478.80,11.61,20.58,31,15,15,N,87,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.18,Monthly
2655,SKU0288,Maintenance Parts 0288,Maintenance Parts,Cedar Components,Z2-B04,Z2,821,821,0,4.0,109.60,89981.60,438.40,10.97,74.83,68,10,4,N,0,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.16,Monthly
2656,SKU0016,Consumables 0016,Consumables,Atlas Industrial,Z2-B04,Z2,635,635,0,8.0,63.20,40132.00,505.60,11.36,55.89,36,10,8,N,9,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.16,Monthly
2657,SKU0081,Industrial Supplies 0081,Industrial Supplies,Atlas Industrial,Z1-B03,Z1,317,317,0,8.0,63.70,20192.90,509.60,11.22,28.25,31,15,13,N,48,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.16,Monthly
2658,SKU0032,Electrical Components 0032,Electrical Components,Blue Ridge Supply,Z3-B01,Z3,285,285,0,4.0,122.40,34884.00,489.60,11.19,25.46,52,10,12,N,29,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.16,Monthly
2659,SKU0285,Tools 0285,Tools,Summit Packaging,Z2-B04,Z2,541,541,0,4.0,98.50,53288.50,394.00,11.08,48.81,35,35,19,N,43,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.09,Monthly
2660,SKU0048,Maintenance Parts 0048,Maintenance Parts,Cedar Components,Z3-B03,Z3,288,288,0,8.0,61.60,17740.80,492.80,11.33,25.41,68,10,16,N,90,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.06,Monthly
2661,SKU0147,Fasteners 0147,Fasteners,Blue Ridge Supply,Z3-B04,Z3,363,363,0,8.0,67.90,24647.70,543.20,11.22,32.35,37,25,7,N,0,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.06,Monthly
2662,SKU0158,Maintenance Parts 0158,Maintenance Parts,Cedar Components,Z1-B03,Z1,550,550,0,4.0,108.60,59730.00,434.40,11.33,48.53,78,40,12,N,37,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.01,Monthly
2663,SKU0147,Fasteners 0147,Fasteners,Blue Ridge Supply,Z1-B03,Z1,346,346,0,8.0,67.90,23493.40,543.20,11.22,30.83,37,25,7,N,8,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,23.01,Monthly
2664,SKU0059,Shipping Supplies 0059,Shipping Supplies,Harbor Safety,Z1-B04,Z1,367,367,0,4.0,102.30,37544.10,409.20,11.22,32.70,29,25,21,N,101,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.94,Monthly
2665,SKU0278,Maintenance Parts 0278,Maintenance Parts,Cedar Components,Z2-B03,Z2,98,98,0,8.0,72.60,7114.80,580.80,11.00,8.91,38,40,6,N,95,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.88,Monthly
2666,SKU0274,Packaging 0274,Packaging,Harbor Safety,Z2-B02,Z2,605,605,0,8.0,57.80,34969.00,462.40,11.19,54.04,74,20,14,N,5,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.87,Monthly
2667,SKU0178,Maintenance Parts 0178,Maintenance Parts,Cedar Components,Z2-B03,Z2,640,640,0,8.0,62.60,40064.00,500.80,10.97,58.33,58,20,8,N,3,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.87,Monthly
2668,SKU0025,Tools 0025,Tools,Summit Packaging,Z1-B03,Z1,648,648,0,4.0,96.50,62532.00,386.00,11.19,57.89,55,15,17,N,24,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.87,Monthly
2669,SKU0092,Electrical Components 0092,Electrical Components,Blue Ridge Supply,Z1-B04,Z1,413,413,0,4.0,104.40,43117.20,417.60,11.33,36.44,72,30,18,N,46,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.84,Monthly
2670,SKU0243,Safety Supplies 0243,Safety Supplies,Cedar Components,Z1-B02,Z1,246,246,0,8.0,63.10,15522.60,504.80,10.83,22.71,53,25,13,N,61,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.81,Monthly
2671,SKU0156,Consumables 0156,Consumables,Atlas Industrial,Z2-B01,Z2,562,562,0,4.0,101.20,56874.40,404.80,10.97,51.22,56,30,16,N,16,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.75,Monthly
2672,SKU0046,Consumables 0046,Consumables,Atlas Industrial,Z1-B03,Z1,430,430,0,8.0,54.20,23306.00,433.60,10.97,39.19,46,40,20,N,71,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.69,Monthly
2673,SKU0126,Consumables 0126,Consumables,Atlas Industrial,Z3-B02,Z3,748,748,0,4.0,110.20,82429.60,440.80,11.36,65.84,46,40,4,N,0,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.65,Monthly
2674,SKU0061,Industrial Supplies 0061,Industrial Supplies,Atlas Industrial,Z2-B03,Z2,298,298,0,4.0,109.70,32690.60,438.80,11.58,25.73,51,35,17,N,102,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.64,Monthly
2675,SKU0025,Tools 0025,Tools,Summit Packaging,Z3-B03,Z3,625,625,0,4.0,96.50,60312.50,386.00,11.19,55.83,55,15,17,N,44,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.62,Monthly
2676,SKU0192,Electrical Components 0192,Electrical Components,Blue Ridge Supply,Z3-B01,Z3,226,226,0,4.0,114.40,25854.40,457.60,11.36,19.89,52,10,16,N,91,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.61,Monthly
2677,SKU0049,Shipping Supplies 0049,Shipping Supplies,Harbor Safety,Z2-B01,Z2,564,564,0,8.0,65.30,36829.20,522.40,11.25,50.13,79,15,5,N,1,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.61,Monthly
2678,SKU0077,Fasteners 0077,Fasteners,Blue Ridge Supply,Z2-B03,Z2,835,835,0,8.0,48.90,40831.50,391.20,10.81,77.28,67,35,21,N,17,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.60,Monthly
2679,SKU0081,Industrial Supplies 0081,Industrial Supplies,Atlas Industrial,Z1-B04,Z1,171,171,0,8.0,63.70,10892.70,509.60,11.22,15.24,31,15,13,N,122,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.59,Monthly
2680,SKU0057,Fasteners 0057,Fasteners,Blue Ridge Supply,Z1-B04,Z1,520,520,0,5.0,94.90,49348.00,474.50,11.17,46.57,87,15,7,N,5,5,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.55,Monthly
2681,SKU0089,Shipping Supplies 0089,Shipping Supplies,Harbor Safety,Z1-B04,Z1,761,761,0,4.0,93.30,71001.30,373.20,10.83,70.25,39,15,15,N,8,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.49,Monthly
2682,SKU0155,Tools 0155,Tools,Summit Packaging,Z3-B03,Z3,355,355,0,5.0,97.50,34612.50,487.50,10.83,32.77,45,25,9,N,0,5,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.46,Monthly
2683,SKU0180,Material Handling 0180,Material Handling,Summit Packaging,Z1-B04,Z1,251,251,0,8.0,70.00,17570.00,560.00,11.33,22.15,80,30,4,N,0,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.45,Monthly
2684,SKU0239,Shipping Supplies 0239,Shipping Supplies,Harbor Safety,Z2-B01,Z2,855,855,0,8.0,48.30,41296.50,386.40,11.64,73.46,89,45,21,N,43,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.44,Monthly
2685,SKU0145,Tools 0145,Tools,Summit Packaging,Z1-B04,Z1,480,480,0,8.0,60.50,29040.00,484.00,11.17,42.99,95,15,11,N,3,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.44,Monthly
2686,SKU0187,Fasteners 0187,Fasteners,Blue Ridge Supply,Z1-B01,Z1,605,605,0,4.0,95.90,58019.50,383.60,10.81,55.99,77,25,17,N,50,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.44,Monthly
2687,SKU0049,Shipping Supplies 0049,Shipping Supplies,Harbor Safety,Z2-B02,Z2,464,464,0,8.0,65.30,30299.20,522.40,11.25,41.24,79,15,5,N,0,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.38,Monthly
2688,SKU0221,Industrial Supplies 0221,Industrial Supplies,Atlas Industrial,Z2-B03,Z2,280,280,0,4.0,101.70,28476.00,406.80,10.83,25.85,51,35,21,N,117,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.36,Monthly
2689,SKU0176,Consumables 0176,Consumables,Atlas Industrial,Z2-B04,Z2,770,770,0,8.0,55.20,42504.00,441.60,10.92,70.53,36,10,12,N,8,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.34,Monthly
2690,SKU0243,Safety Supplies 0243,Safety Supplies,Cedar Components,Z3-B03,Z3,161,161,0,8.0,63.10,10159.10,504.80,10.83,14.86,53,25,13,N,169,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.34,Monthly
2691,SKU0239,Shipping Supplies 0239,Shipping Supplies,Harbor Safety,Z2-B02,Z2,766,766,0,8.0,48.30,36997.80,386.40,11.64,65.81,89,45,21,N,46,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.34,Monthly
2692,SKU0153,Safety Supplies 0153,Safety Supplies,Cedar Components,Z1-B03,Z1,369,369,0,5.0,90.10,33246.90,450.50,11.08,33.29,23,15,13,N,54,5,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.32,Monthly
2693,SKU0096,Consumables 0096,Consumables,Atlas Industrial,Z1-B02,Z1,274,274,0,4.0,119.20,32660.80,476.80,11.75,23.32,36,10,10,N,42,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.32,Monthly
2694,SKU0185,Tools 0185,Tools,Summit Packaging,Z1-B03,Z1,598,598,0,4.0,88.50,52923.00,354.00,11.36,52.64,55,15,21,N,54,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.29,Monthly
2695,SKU0032,Electrical Components 0032,Electrical Components,Blue Ridge Supply,Z1-B01,Z1,141,141,0,4.0,122.40,17258.40,489.60,11.19,12.60,52,10,12,N,170,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.10,Monthly
2696,SKU0251,Industrial Supplies 0251,Industrial Supplies,Atlas Industrial,Z3-B02,Z3,175,175,0,5.0,92.70,16222.50,463.50,11.36,15.40,61,25,15,N,165,5,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.10,Monthly
2697,SKU0185,Tools 0185,Tools,Summit Packaging,Z3-B03,Z3,585,585,0,4.0,88.50,51772.50,354.00,11.36,51.49,55,15,21,N,47,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.10,Monthly
2698,SKU0077,Fasteners 0077,Fasteners,Blue Ridge Supply,Z2-B04,Z2,591,591,0,8.0,48.90,28899.90,391.20,10.81,54.69,67,35,21,N,50,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.09,Monthly
2699,SKU0046,Consumables 0046,Consumables,Atlas Industrial,Z1-B04,Z1,249,249,0,8.0,54.20,13495.80,433.60,10.97,22.69,46,40,20,N,114,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.09,Monthly
2700,SKU0126,Consumables 0126,Consumables,Atlas Industrial,Z1-B02,Z1,626,626,0,4.0,110.20,68985.20,440.80,11.36,55.10,46,40,4,N,0,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,22.03,Monthly
2701,SKU0193,Safety Supplies 0193,Safety Supplies,Cedar Components,Z1-B03,Z1,414,414,0,4.0,118.10,48893.40,472.40,11.58,35.74,63,15,5,N,0,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,21.98,Monthly
2702,SKU0286,Consumables 0286,Consumables,Atlas Industrial,Z2-B01,Z2,172,171,1,5.0,102.20,17476.20,511.00,10.92,15.66,46,40,8,N,28,5,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,21.97,Monthly
2703,SKU0256,Consumables 0256,Consumables,Atlas Industrial,Z1-B02,Z1,244,244,0,4.0,111.20,27132.80,444.80,11.00,22.18,36,10,14,N,74,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,21.97,Monthly
2704,SKU0286,Consumables 0286,Consumables,Atlas Industrial,Z1-B02,Z1,669,669,0,4.0,102.20,68371.80,408.80,10.92,61.28,46,40,8,N,0,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,21.95,Monthly
2705,SKU0211,Industrial Supplies 0211,Industrial Supplies,Atlas Industrial,Z3-B01,Z3,395,395,0,8.0,64.70,25556.50,517.60,11.17,35.37,21,25,5,N,0,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,21.93,Monthly
2706,SKU0241,Industrial Supplies 0241,Industrial Supplies,Atlas Industrial,Z1-B03,Z1,269,269,0,8.0,55.70,14983.30,445.60,11.08,24.27,31,15,17,N,117,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,21.92,Monthly
2707,SKU0254,Packaging 0254,Packaging,Harbor Safety,Z3-B04,Z3,245,245,0,4.0,103.80,25431.00,415.20,10.94,22.39,94,40,18,N,164,4,Y,Watch,Watch: materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,21.85,Monthly
